OGLE-BLG-ROT-000175 17:21:32.78 -30:07:59.2 BLG615.16.26625                                                               
OGLE-BLG-ROT-000176 17:21:34.71 -29:37:26.5 BLG615.25.47660                                                               
OGLE-BLG-ROT-000177 17:21:34.86 -28:23:28.9 BLG614.25.66555                                                               
OGLE-BLG-ROT-000178 17:21:42.79 -29:47:33.5 BLG615.25.31310                                                               
OGLE-BLG-ROT-000179 17:21:42.87 -28:36:58.5 BLG614.16.30681                                                               
OGLE-BLG-ROT-000180 17:21:47.78 -28:24:20.2 BLG614.25.23761                                                               
OGLE-BLG-ROT-000181 17:21:49.20 -28:21:59.0 BLG614.25.34615                                                               
OGLE-BLG-ROT-000182 17:21:49.36 -30:03:51.9 BLG615.16.5420                                                                
OGLE-BLG-ROT-000183 17:21:49.40 -29:53:03.2 BLG615.16.19656                                                               
OGLE-BLG-ROT-000184 17:21:51.17 -28:40:37.5 BLG614.16.19878                                                               
OGLE-BLG-ROT-000185 17:21:55.27 -30:03:16.2 BLG615.15.78898                                                               
OGLE-BLG-ROT-000186 17:21:56.81 -28:26:27.4 BLG614.25.22550                                                               
OGLE-BLG-ROT-000187 17:21:57.74 -30:27:08.8 BLG615.07.72005                                                               
OGLE-BLG-ROT-000188 17:21:57.79 -29:34:08.5 BLG615.24.116875                                                              
OGLE-BLG-ROT-000189 17:21:58.43 -29:16:20.1 BLG615.32.96924                                                               
OGLE-BLG-ROT-000190 17:21:58.51 -29:52:22.0 BLG615.15.91978                                                               
OGLE-BLG-ROT-000191 17:21:59.87 -29:58:12.9 BLG615.15.84892                                                               
OGLE-BLG-ROT-000192 17:22:01.92 -29:18:17.9 BLG615.32.93356                                                               
OGLE-BLG-ROT-000193 17:22:05.77 -29:23:18.5 BLG615.32.61808                                                               
OGLE-BLG-ROT-000194 17:22:05.86 -28:05:18.3 BLG614.32.68374                                                               
OGLE-BLG-ROT-000195 17:22:06.11 -28:01:42.2 BLG614.32.79441                                                               
OGLE-BLG-ROT-000196 17:22:06.87 -30:16:01.3 BLG615.07.62098                                                               
OGLE-BLG-ROT-000197 17:22:07.28 -29:49:11.8 BLG615.24.60621                                                               
OGLE-BLG-ROT-000198 17:22:10.18 -29:18:04.9 BLG615.32.69827                                                               
OGLE-BLG-ROT-000199 17:22:10.74 -29:30:28.8 BLG615.32.51869                                                               
OGLE-BLG-ROT-000200 17:22:11.17 -29:40:11.0 BLG615.24.75986                                                               
OGLE-BLG-ROT-000201 17:22:15.40 -28:41:11.1 BLG614.15.68513                                                               
OGLE-BLG-ROT-000202 17:22:18.18 -29:57:52.4 BLG615.15.31980                                                               
OGLE-BLG-ROT-000203 17:22:21.61 -29:34:02.4 BLG615.24.57754                                                               
OGLE-BLG-ROT-000204 17:22:21.75 -29:11:23.0 BLG614.07.1665                                                                
OGLE-BLG-ROT-000205 17:22:23.64 -28:36:28.1 BLG614.24.123                                                                 
OGLE-BLG-ROT-000206 17:22:24.44 -29:37:23.5 BLG615.24.49445                                                               
OGLE-BLG-ROT-000207 17:22:28.70 -29:46:48.0 BLG615.24.3033                                                                
OGLE-BLG-ROT-000208 17:22:28.94 -28:06:25.6 BLG614.32.22654                                                               
OGLE-BLG-ROT-000209 17:22:31.41 -28:08:08.8 BLG614.32.10016                                                               
