#Name,Date,RaDeg,DecDeg
Gaia22aby,2022-01-05 02:05:05,186.23171,-61.96597
Gaia22aas,2022-01-01 06:48:40,131.54633,-47.47044
Gaia21fpg,2021-12-16 14:41:31,112.15914,-12.91127
Gaia21fod,2021-12-14 06:46:13,116.1167,-7.09254
Gaia21fly,2021-12-07 18:50:21,110.00543,-15.44116
Gaia21fir,2021-11-28 19:21:48,155.90122,-59.33968
Gaia21fib,2021-11-27 01:27:38,177.67383,-62.30272
Gaia21fbu,2021-11-08 09:05:16,145.59278,-54.33639
Gaia21epq,2021-10-06 18:20:45,50.86051,60.71185
Gaia21ene,2021-09-30 20:49:22,173.37434,-60.77301
Gaia21emm,2021-09-29 17:51:36,341.32676,57.85182
Gaia21elk,2021-09-25 02:04:40,120.74748,-31.25308
Gaia21ehs,2021-09-17 00:18:42,46.25714,58.86303
Gaia21egk,2021-09-13 17:41:27,333.115,55.72829
Gaia21efm,2021-09-10 17:27:05,309.99956,48.80794
Gaia21edd,2021-09-04 10:52:21,12.36169,-73.10049
Gaia21ecy,2021-09-03 16:46:45,285.34375,11.86756
Gaia21dwa,2021-08-18 21:56:32,256.38491,-47.29218
Gaia21dth,2021-08-13 08:46:25,39.95852,49.71737
Gaia21dfe,2021-07-09 17:32:17,142.11398,-53.25765
Gaia21dck,2021-07-02 09:23:37,75.95649,-66.12184
Gaia21dce,2021-06-30 12:01:17,224.74025,-63.59259
Gaia21cyc,2021-06-19 07:00:22,46.13203,57.7453
Gaia21cvi,2021-06-12 06:49:21,44.11409,66.83324
Gaia21cuw,2021-06-11 14:37:58,37.82604,66.00711
Gaia21csm,2021-06-06 07:09:17,343.64684,60.93229
Gaia21cqi,2021-06-01 04:31:38,122.15211,-40.88997
Gaia21ccw,2021-04-29 22:38:01,130.67303,-57.67286
Gaia21ccd,2021-04-27 22:51:44,152.58685,-50.10829
Gaia21cak,2021-04-23 10:39:29,166.14577,-60.32719
Gaia21byp,2021-04-19 16:32:57,182.52159,-61.68302
Gaia21bxn,2021-04-16 19:15:19,16.6783,61.99498
Gaia21bwt,2021-04-15 12:04:29,211.08932,-62.8951
Gaia21buc,2021-04-09 12:41:00,65.02456,45.80515
Gaia21bsa,2021-04-06 13:13:55,8.29828,51.66859
Gaia21bpw,2021-04-01 19:35:15,327.2171,54.64961
Gaia21bok,2021-03-28 16:22:51,181.26523,-62.40861
Gaia21bnf,2021-03-24 22:10:01,208.34496,-62.15944
Gaia21blp,2021-03-21 22:02:30,226.81526,-60.03587
Gaia21bin,2021-03-13 09:37:30,261.74458,-33.40781
Gaia21bgi,2021-03-07 09:22:47,276.2143,-12.48346
Gaia21bev,2021-03-03 14:03:55,100.68374,-0.85056
Gaia21bal,2021-02-20 02:02:04,319.10743,58.56766
Gaia21aza,2021-02-18 23:11:19,139.86812,-53.26693
Gaia21axv,2021-02-18 04:08:45,247.05158,-54.56686
Gaia21axh,2021-02-17 03:40:44,264.98643,-32.5076
Gaia21axg,2021-02-17 03:59:06,251.33413,-45.71284
Gaia21awq,2021-02-16 03:45:38,257.63108,-34.25947
Gaia21awg,2021-02-16 00:33:19,91.02343,18.31973
Gaia21avw,2021-02-15 22:43:27,285.49654,3.306
Gaia21auv,2021-02-14 12:50:39,71.64416,30.61554
Gaia21ass,2021-02-10 07:33:45,111.5111,-19.6539
Gaia21asl,2021-02-10 05:46:12,112.43507,-20.17145
Gaia21aqy,2021-02-06 11:37:49,115.22821,-25.84535
Gaia21aph,2021-02-03 08:20:13,298.72035,30.26941
Gaia21aoc,2021-01-31 10:02:04,301.75494,33.94187
Gaia21aiu,2021-01-18 20:11:21,339.72752,59.2141
Gaia21aib,2021-01-16 23:12:13,175.71532,-62.0151
Gaia21ahr,2021-01-16 23:12:36,176.39854,-62.43771
Gaia21aaa,2020-12-29 22:57:32,227.37946,-52.09013
Gaia20fwc,2020-12-23 07:13:58,154.11273,-59.2275
Gaia20fvs,2020-12-22 02:19:08,347.91061,51.32857
Gaia20fut,2020-12-19 17:38:51,132.87651,-44.66942
Gaia20fup,2020-12-18 02:38:35,306.2179,38.16914
Gaia20ftl,2020-12-15 02:41:18,298.37482,28.71077
Gaia20frx,2020-12-13 01:35:43,116.3336,-23.18614
Gaia20fhb,2020-11-15 18:19:00,152.09333,-54.60211
Gaia20fcq,2020-11-05 14:20:20,201.44401,-63.49355
Gaia20fak,2020-10-30 00:21:02,155.46386,-59.23043
Gaia20ejb,2020-09-15 13:25:57,132.53187,-48.58581
Gaia20efl,2020-09-06 21:51:16,290.86091,8.61713
Gaia20dln,2020-07-26 06:13:23,233.41821,-58.67986
Gaia20dfn,2020-07-11 14:44:41,59.42995,55.71497
Gaia20dff,2020-07-10 15:08:05,79.35388,-68.28193
Gaia20cga,2020-05-11 23:29:37,3.70975,64.49294
Gaia20cfq,2020-05-10 18:05:24,11.97875,-73.22014
Gaia20cff,2020-05-10 11:31:54,354.14726,60.81726
Gaia20cba,2020-04-28 18:32:26,115.08604,-33.55895
Gaia20bjt,2020-03-17 20:07:46,281.65867,-7.93201
Gaia20ayv,2020-02-22 04:25:20,82.86685,12.15282
Gaia20adt,2020-01-07 06:21:07,157.72655,-58.58897
Gaia20ack,2020-01-05 12:05:50,184.08641,-62.67193
Gaia19flp,2019-12-07 23:01:01,162.23075,-59.36212
Gaia19fkw,2019-12-05 19:59:03,325.20749,58.6542
Gaia19fkg,2019-12-05 07:45:20,316.54536,47.76749
Gaia19ews,2019-11-01 21:53:56,86.15025,-68.12726
